month,Sales_count,Inventory_count
Jan,54036,52142
Feb,53816,47475
Mar,53627,50553
Apr,54143,48740
May,53869,50998
Jun,50335,49313
Jul,57901,50091
Aug,54272,49695
Sep,53224,50261
Oct,57879,51881
Nov,48801,48466
Dec,56590,51637
